title,rank,date,artist,url,region,chart,trend,streams
La Bicicleta,57,2017-01-01,"Carlos Vives, Shakira",https://open.spotify.com/track/0sXvAOmXgjR2QUqLK1MltU,Global,top200,MOVE_UP,810362
Perfect Strangers,58,2017-01-01,"Jonas Blue, JP Cooper",https://open.spotify.com/track/5bZtRlMBU76vHuDOb1GM5u,Global,top200,MOVE_DOWN,806283
Panda,59,2017-01-01,Desiigner,https://open.spotify.com/track/5OOkp4U9P9oL23maHFHL1h,Global,top200,MOVE_UP,788804
Too Good,60,2017-01-01,"Drake, Rihanna",https://open.spotify.com/track/11KJSRSgaDxqydKYiD2Jew,Global,top200,MOVE_UP,786785
"How Far I'll Go - From ""Moana""",61,2017-01-01,Alessia Cara,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN,Global,top200,MOVE_UP,778773
Sexual,62,2017-01-01,"NEIKED, Dyo",https://open.spotify.com/track/3AsAuGTaDQzavZZThyYlop,Global,top200,MOVE_DOWN,770804
Into You,63,2017-01-01,Ariana Grande,https://open.spotify.com/track/7yHEDfrJNd0zWOfXwydNH0,Global,top200,MOVE_UP,762502
Stressed Out,64,2017-01-01,Twenty One Pilots,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn,Global,top200,MOVE_DOWN,758614
Deja Vu,65,2017-01-01,J. Cole,https://open.spotify.com/track/6I6NX6tjGsxFAsIfGzY9lJ,Global,top200,MOVE_UP,748367
Shaky Shaky,66,2017-01-01,Daddy Yankee,https://open.spotify.com/track/58IL315gMSTD37DOZPJ2hf,Global,top200,MOVE_UP,735912
Faded,67,2017-01-01,Alan Walker,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos,Global,top200,MOVE_DOWN,713049
The Greatest (feat. Kendrick Lamar),68,2017-01-01,Sia,https://open.spotify.com/track/7xHWNBFm6ObGEQPaUxHuKO,Global,top200,MOVE_DOWN,709411
Controlla,69,2017-01-01,Drake,https://open.spotify.com/track/6F609ICg9Spjrw1epsAnpa,Global,top200,MOVE_UP,687222
Light It Up (feat. Nyla & Fuse ODG) - Remix,70,2017-01-01,Major Lazer,https://open.spotify.com/track/0L7loeTIg6akW84aEQZpCT,Global,top200,MOVE_DOWN,686053
Traicionera,71,2017-01-01,Sebastian Yatra,https://open.spotify.com/track/5J1c3M4EldCfNxXwrwt8mT,Global,top200,MOVE_UP,685732
X (feat. Future),72,2017-01-01,"21 Savage, Metro Boomin",https://open.spotify.com/track/6fwdbPMwP1zVStm8FybmkO,Global,top200,MOVE_UP,673320
Send My Love (To Your New Lover),73,2017-01-01,Adele,https://open.spotify.com/track/4BHzQ9C00ceJxfG16AlNWb,Global,top200,MOVE_UP,672465
Juju on That Beat (TZ Anthem),74,2017-01-01,"Zay Hilfigerrr, Zayion McCall",https://open.spotify.com/track/1lItf5ZXJc1by9SbPeljFd,Global,top200,MOVE_UP,672103
DUELE EL CORAZON (feat. Wisin),75,2017-01-01,Enrique Iglesias,https://open.spotify.com/track/6YZdkObH88npeKrrkb8Ggf,Global,top200,MOVE_UP,666941
Hymn for the Weekend - Seeb Remix,76,2017-01-01,Coldplay,https://open.spotify.com/track/1OAiWI2oPmglaOiv9fdioU,Global,top200,MOVE_DOWN,655597
"i hate u, i love u (feat. olivia o'brien)",77,2017-01-01,gnash,https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe,Global,top200,MOVE_DOWN,653547
"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",78,2017-01-01,Lil Wayne,https://open.spotify.com/track/4dASQiO1Eoo3RJvt74FtXB,Global,top200,MOVE_UP,650717
Solo Dance,79,2017-01-01,Martin Jensen,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN,Global,top200,MOVE_DOWN,647007
Chill Bill (feat. J. Davi$ & Spooks),80,2017-01-01,Rob $tone,https://open.spotify.com/track/5uDASfU19gDxSjW8cnCaBp,Global,top200,MOVE_UP,646550
Deu Onda,81,2017-01-01,MC G15,https://open.spotify.com/track/0EPxmvsG1BY5td4aTOkWBF,Global,top200,MOVE_UP,640703
The Ocean (feat. Shy Martin),82,2017-01-01,Mike Perry,https://open.spotify.com/track/2CPqh63wRVscbceKcPxwvv,Global,top200,MOVE_DOWN,621355
Needed Me,83,2017-01-01,Rihanna,https://open.spotify.com/track/1Tt4sE4pXi57mTD1GCzsqm,Global,top200,MOVE_UP,618514
Human,84,2017-01-01,Rag'n'Bone Man,https://open.spotify.com/track/58zsLZPvfflaiIbNWoA22O,Global,top200,MOVE_DOWN,615851
Setting Fires,85,2017-01-01,"The Chainsmokers, XYLØ",https://open.spotify.com/track/0B8B8cVRFIG1yznoQe7c9s,Global,top200,MOVE_DOWN,599513
The Greatest,86,2017-01-01,Sia,https://open.spotify.com/track/6bLopGnirdrilrpdVB6Um1,Global,top200,MOVE_DOWN,597051
7 Years,87,2017-01-01,Lukas Graham,https://open.spotify.com/track/7129iqBafaphfc3WPCGC0L,Global,top200,MOVE_DOWN,593676
This Girl (Kungs Vs. Cookin' On 3 Burners),88,2017-01-01,Kungs,https://open.spotify.com/track/0tICYNayWWhH9GPeFrfjfD,Global,top200,MOVE_DOWN,586302
Sneakin’,89,2017-01-01,"Drake, 21 Savage",https://open.spotify.com/track/4ckuS4Nj4FZ7i3Def3Br8W,Global,top200,MOVE_UP,580939
OOOUUU,90,2017-01-01,Young M.A,https://open.spotify.com/track/7JYsArznYOjX2jsrT3UEnL,Global,top200,MOVE_UP,580826
Trust Nobody (feat. Selena Gomez & Tory Lanez),91,2017-01-01,Cashmere Cat,https://open.spotify.com/track/2wDjpPW3HZdA9quPPmZAMu,Global,top200,MOVE_UP,579504
Make Me (Cry),92,2017-01-01,"Noah Cyrus, Labrinth",https://open.spotify.com/track/2BrzlUj1u1CtvaJDGIKpsP,Global,top200,SAME_POSITION,577810
Lot to Learn,93,2017-01-01,Luke Christopher,https://open.spotify.com/track/2HzfRSfCogBSsgW2CckVA2,Global,top200,SAME_POSITION,570299
Fast Car,94,2017-01-01,"Jonas Blue, Dakota",https://open.spotify.com/track/6OZh916QF8XNunWaP97WEZ,Global,top200,MOVE_DOWN,567927
No Problem (feat. Lil Wayne & 2 Chainz),95,2017-01-01,Chance the Rapper,https://open.spotify.com/track/0v9Wz8o0BT8DU38R4ddjeH,Global,top200,MOVE_UP,567639
Water Under the Bridge,96,2017-01-01,Adele,https://open.spotify.com/track/4vb4mFvYsr2h6enhjJsq9Y,Global,top200,MOVE_UP,565509
Shout Out to My Ex,97,2017-01-01,Little Mix,https://open.spotify.com/track/0YHUITU3w6ws1v8ehT264g,Global,top200,MOVE_DOWN,561342
No Heart,98,2017-01-01,"21 Savage, Metro Boomin",https://open.spotify.com/track/4gmmRb6bZJffOOiww1JGTO,Global,top200,MOVE_UP,553704
Middle,99,2017-01-01,"DJ Snake, Bipolar Sunshine",https://open.spotify.com/track/4OZEu0Vwq0RB2LAq14v99n,Global,top200,SAME_POSITION,552314
Dile Que Tu Me Quieres,100,2017-01-01,Ozuna,https://open.spotify.com/track/20ZAJdsKB5IGbGj4ilRt2o,Global,top200,MOVE_UP,549784
Naha,25,2017-01-02,PNL,https://open.spotify.com/track/0lkQfsTMmtDA37tjjew9n0,France,top200,MOVE_UP,52620
"Me, Myself & I",101,2017-01-01,"G-Eazy, Bebe Rexha",https://open.spotify.com/track/40YcuQysJ0KlGQTeGUosTC,Global,top200,MOVE_DOWN,546883
Capsize,102,2017-01-01,"FRENSHIP, Emily Warren",https://open.spotify.com/track/2XMTqoHHSH0lvuXrvIEdco,Global,top200,MOVE_DOWN,543362
Billie Jean,103,2017-01-01,Michael Jackson,https://open.spotify.com/track/5ChkMS8OtdzJeqyybCc9R5,Global,top200,MOVE_UP,538134
Lean On (feat. MØ & DJ Snake),104,2017-01-01,Major Lazer,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4,Global,top200,MOVE_DOWN,536139
