title,rank,url,artist
DUELE EL CORAZON (feat. Wisin),75,https://open.spotify.com/track/6YZdkObH88npeKrrkb8Ggf,Enrique Iglesias
Hymn for the Weekend - Seeb Remix,76,https://open.spotify.com/track/1OAiWI2oPmglaOiv9fdioU,Coldplay
"i hate u, i love u (feat. olivia o'brien)",77,https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe,gnash
"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",78,https://open.spotify.com/track/4dASQiO1Eoo3RJvt74FtXB,Lil Wayne
Solo Dance,79,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN,Martin Jensen
Chill Bill (feat. J. Davi$ & Spooks),80,https://open.spotify.com/track/5uDASfU19gDxSjW8cnCaBp,Rob $tone
Deu Onda,81,https://open.spotify.com/track/0EPxmvsG1BY5td4aTOkWBF,MC G15
The Ocean (feat. Shy Martin),82,https://open.spotify.com/track/2CPqh63wRVscbceKcPxwvv,Mike Perry
Needed Me,83,https://open.spotify.com/track/1Tt4sE4pXi57mTD1GCzsqm,Rihanna
Human,84,https://open.spotify.com/track/58zsLZPvfflaiIbNWoA22O,Rag'n'Bone Man
Setting Fires,85,https://open.spotify.com/track/0B8B8cVRFIG1yznoQe7c9s,"The Chainsmokers, XYLØ"
The Greatest,86,https://open.spotify.com/track/6bLopGnirdrilrpdVB6Um1,Sia
7 Years,87,https://open.spotify.com/track/7129iqBafaphfc3WPCGC0L,Lukas Graham
This Girl (Kungs Vs. Cookin' On 3 Burners),88,https://open.spotify.com/track/0tICYNayWWhH9GPeFrfjfD,Kungs
Sneakin’,89,https://open.spotify.com/track/4ckuS4Nj4FZ7i3Def3Br8W,"Drake, 21 Savage"
OOOUUU,90,https://open.spotify.com/track/7JYsArznYOjX2jsrT3UEnL,Young M.A
Trust Nobody (feat. Selena Gomez & Tory Lanez),91,https://open.spotify.com/track/2wDjpPW3HZdA9quPPmZAMu,Cashmere Cat
Make Me (Cry),92,https://open.spotify.com/track/2BrzlUj1u1CtvaJDGIKpsP,"Noah Cyrus, Labrinth"
Lot to Learn,93,https://open.spotify.com/track/2HzfRSfCogBSsgW2CckVA2,Luke Christopher
Fast Car,94,https://open.spotify.com/track/6OZh916QF8XNunWaP97WEZ,"Jonas Blue, Dakota"
No Problem (feat. Lil Wayne & 2 Chainz),95,https://open.spotify.com/track/0v9Wz8o0BT8DU38R4ddjeH,Chance the Rapper
Water Under the Bridge,96,https://open.spotify.com/track/4vb4mFvYsr2h6enhjJsq9Y,Adele
Shout Out to My Ex,97,https://open.spotify.com/track/0YHUITU3w6ws1v8ehT264g,Little Mix
No Heart,98,https://open.spotify.com/track/4gmmRb6bZJffOOiww1JGTO,"21 Savage, Metro Boomin"
Middle,99,https://open.spotify.com/track/4OZEu0Vwq0RB2LAq14v99n,"DJ Snake, Bipolar Sunshine"
Dile Que Tu Me Quieres,100,https://open.spotify.com/track/20ZAJdsKB5IGbGj4ilRt2o,Ozuna
Naha,25,https://open.spotify.com/track/0lkQfsTMmtDA37tjjew9n0,PNL
"Me, Myself & I",101,https://open.spotify.com/track/40YcuQysJ0KlGQTeGUosTC,"G-Eazy, Bebe Rexha"
Capsize,102,https://open.spotify.com/track/2XMTqoHHSH0lvuXrvIEdco,"FRENSHIP, Emily Warren"
Billie Jean,103,https://open.spotify.com/track/5ChkMS8OtdzJeqyybCc9R5,Michael Jackson
Lean On (feat. MØ & DJ Snake),104,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4,Major Lazer
"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)",105,https://open.spotify.com/track/6stYbAJgTszHAHZMPxWWCY,"IAmChino, El Chacal"
Borro Cassette,106,https://open.spotify.com/track/6DUdDIRgLqCGq1DwkNWQTN,Maluma
Andas En Mi Cabeza,107,https://open.spotify.com/track/5mey7CLLuFToM2P68Qu1gF,"Chino & Nacho, Daddy Yankee"
Sunset Lover,108,https://open.spotify.com/track/0hNduWmlWmEmuwEFcYvRu1,Petit Biscuit
Sidewalks,109,https://open.spotify.com/track/4h90qkbnW1Qq6pBhoPvwko,"The Weeknd, Kendrick Lamar"
Sex,110,https://open.spotify.com/track/5DA77EqppDmCTWGovd4oTP,"Cheat Codes, Kris Kross Amsterdam"
Final Song,111,https://open.spotify.com/track/4qqArAiTPueDxIp7cf87h7,MØ
All Time Low,112,https://open.spotify.com/track/1CnPYaKxTVb4LWOtiGOm0m,Jon Bellion
Versace on the Floor,113,https://open.spotify.com/track/0kN8xEmgMW9mh7UmDYHlJP,Bruno Mars
Six Feet Under,114,https://open.spotify.com/track/4mU5iXHeLgbR94siF7p1sY,The Weeknd
Fresh Eyes,115,https://open.spotify.com/track/4nMlau89VAjmV7agkl7OY3,Andy Grammer
Vacaciones,116,https://open.spotify.com/track/3dQDid3IUNhZy1OehIfYfE,Wisin
Bohemian Rhapsody - Remastered 2011,117,https://open.spotify.com/track/1AhDOtG9vPSOmsWgNW0BEY,Queen
pick up the phone,118,https://open.spotify.com/track/20dP2DaMHIAmwWAbp7peSr,"Young Thug, Travis Scott"
You Was Right,119,https://open.spotify.com/track/2ANLarE8yHVsLWW21nj79M,Lil Uzi Vert
Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),120,https://open.spotify.com/track/40UroIGvsMPLPBYwH8rMNA,Vice
Roses (feat. ROZES),121,https://open.spotify.com/track/6O6M7pJLABmfBRoGZMu76Y,The Chainsmokers
Jumpman,122,https://open.spotify.com/track/27GmP9AWRs744SzKcpJsTZ,"Drake, Future"
Photograph,123,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy,Ed Sheeran
PILLOWTALK,124,https://open.spotify.com/track/0PDUDa38GO8lMxLCRc4lL1,ZAYN
Pumped Up Kicks,125,https://open.spotify.com/track/7w87IxuO7BDcJ3YUqCyMTT,Foster The People
What Do You Mean?,126,https://open.spotify.com/track/3pzjHKrQSvXGHQ98dx18HI,Justin Bieber
Lush Life,127,https://open.spotify.com/track/1rIKgCH4H52lrvDcz50hS8,Zara Larsson
Hotline Bling,128,https://open.spotify.com/track/2FBUoWkIuQXwayw2RNo5l6,Drake
Redbone,129,https://open.spotify.com/track/3kxfsdsCpFgN412fpnW85Y,Childish Gambino
No Money,130,https://open.spotify.com/track/0gb1J5UrTpzaU1s3nupgCd,Galantis
"Happy - From ""Despicable Me 2""",131,https://open.spotify.com/track/5b88tNINg4Q4nrRbrCXUmg,Pharrell Williams
Hello,132,https://open.spotify.com/track/4sPmO7WMQUAf45kwMOtONw,Adele
This Town,133,https://open.spotify.com/track/5nA67Y0XX9JipZwYxX7Gl7,Niall Horan
Never Be Like You,134,https://open.spotify.com/track/12REd1n8PeiHHWOh066tpr,"Flume, kai"
I Got You,135,https://open.spotify.com/track/1FUViuNSldssMIawrOXF2i,Bebe Rexha
Titanium (feat. Sia),136,https://open.spotify.com/track/2dOTkLZFbpNXrhc24CnTFd,David Guetta
Love on Me,137,https://open.spotify.com/track/2MHCiOohBZEQuLgDTPvSzF,"Galantis, Hook N Sling"
Can't Hold Us - feat. Ray Dalton,138,https://open.spotify.com/track/3bidbhpOYeV4knp8AIu8Xn,Macklemore & Ryan Lewis
Me llamas (feat. Maluma) - Remix,139,https://open.spotify.com/track/5hEM0JchdVzQ5PwvSfITeX,Piso 21
Lighthouse - Andrelli Remix,140,https://open.spotify.com/track/04CttTezSnv71USiiG9mIo,Hearts & Colors
Thinking out Loud,141,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg,Ed Sheeran
I Want You Back,142,https://open.spotify.com/track/3b0EOvScbZUc0qJx0E1L2z,The Jackson 5
Weak,143,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv,AJR
Stitches,144,https://open.spotify.com/track/1WP1r7fuvRqZRnUaTi2I1Q,Shawn Mendes
Neighbors,145,https://open.spotify.com/track/0utlOiJy2weVl9WTkcEWHy,J. Cole
Dancing On My Own,146,https://open.spotify.com/track/02WacdrRpm4zlP8H7X6bnQ,Calum Scott
iSpy (feat. Lil Yachty),147,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL,KYLE
Dynamite (feat. Pretty Sister),148,https://open.spotify.com/track/2Ae5awwKvQpTBKQHr1TYCg,Nause
Ain't No Mountain High Enough,149,https://open.spotify.com/track/2H3ZUSE54pST4ubRd5FzFR,"Marvin Gaye, Tammi Terrell"
Ain't My Fault,150,https://open.spotify.com/track/0ADG9OgdVTL7fgREP75BrZ,Zara Larsson
Gold,151,https://open.spotify.com/track/6WhzFzROw3aq3rPWjgYlxr,Kiiara
Low Life (feat. The Weeknd),152,https://open.spotify.com/track/7EiZI6JVHllARrX9PUvAdX,Future
Gyal You A Party Animal - Remix,153,https://open.spotify.com/track/1AkTW13ysu0AJrwuM6UY0I,"Charly Black, Daddy Yankee"
